id_str,posted_by,type,score,ratio
1787624382665261114,CBSNews,negative,-0.256044,-0.604977
1787623380503380219,CBSNews,negative,-0.0636898,-0.519275
1787622621057536159,CBSNews,positive,0.329484,0.838974
1787622601289797865,CBSNews,positive,0.22369,1
1787620776998232226,CBSNews,negative,-0.0785499,-0.806369
1787619544334307778,CBSNews,negative,-0.0607318,-0.162866
1787619018569912458,CBSNews,negative,-0.403909,-0.886999
1787618763136725359,CBSNews,neutral,0.0344941,0.15313
1787618344889176133,CBSNews,positive,0.15206,1
1787617339191575006,CBSNews,negative,-0.342236,-0.771481
1787613313569787985,CBSNews,positive,0.10121,0.724647
1787609938438639834,CBSNews,neutral,0.0434577,0.254792
1787608530595225687,CBSNews,negative,-0.44531,-0.841786
1787608278110789794,CBSNews,positive,0.12318,0.685425
1787607246492291241,CBSNews,neutral,-0.0117903,-0.00736832
1787606612712001848,CBSNews,negative,-0.130683,-0.244782
1787606370277040597,CBSNews,negative,-0.0609648,-0.177226
1787603941909242273,CBSNews,negative,-0.124577,-0.68561
1787603263543537783,CBSNews,positive,0.0612128,0.420618
1787599281148309747,CBSNews,neutral,0.00599555,-0.00605417
1787593060152390011,CBSNews,positive,0.392774,0.843137
1787588415195656657,CBSNews,neutral,0.0170182,0.123285
1787584424642490766,CBSNews,negative,-0.113848,-0.467512
1787583388678799534,CBSNews,negative,-0.053699,-0.166572
1787575843570516021,CBSNews,negative,-0.198919,-0.629765
1787571111128920158,CBSNews,negative,-0.234836,-0.779644
1787570818802651455,CBSNews,negative,-0.412892,0.303584
1787563581287825422,CBSNews,negative,-0.366294,-1
1787563360608833953,CBSNews,positive,0.205385,1
1787556690935574677,CBSNews,positive,0.267928,0.848314
1787551655036174554,CBSNews,negative,-0.195278,-0.477469
1787546527700803751,CBSNews,positive,0.32679,0.802046
1787539072308724007,CBSNews,positive,0.203573,0.71116
1787535296675918182,CBSNews,negative,-0.0601301,-0.247018
1787527755006963796,CBSNews,negative,-0.189847,-0.644275
1787524002677772573,CBSNews,positive,0.124531,0.209232
1787520200176263563,CBSNews,negative,-0.309365,-0.906173
1787518725547086238,CBSNews,positive,0.127898,0.42065
1787518513881534498,CBSNews,positive,0.350369,1
1787518451784864132,CBSNews,positive,0.128971,1
1787516424396628119,CBSNews,negative,-0.307212,-0.613002
1787513908401516735,CBSNews,negative,-0.1832,-0.615993
1787512659673223380,CBSNews,positive,0.0765913,0.311786
1787510132714197111,CBSNews,negative,-0.0941259,-0.268637
1787507617482301934,CBSNews,negative,-0.132828,-0.514464
1787506547758690600,CBSNews,positive,0.129302,1
